-8.3989,4.9321,3.7661,-0.1314,-0.1607,0.1442,-1.5347,6.6487,7.1802,-0.1731,-0.1142,0.0779,point_left_1
-6.7086,4.4796,3.0957,0.0228,-0.2216,0.1412,0.5914,7.1419,5.2170,-0.0280,-0.4990,0.0301,point_left_1
-7.6998,5.1571,2.3822,-0.1054,0.0071,0.1166,-1.7286,6.8498,5.6814,-0.1175,0.3214,-0.0368,point_left_1
-7.4531,4.4987,4.1539,-0.0109,-0.1216,0.3384,-0.2538,6.9384,5.2936,0.1092,-0.3222,0.2381,point_left_1
-7.5800,4.9488,2.4995,0.0332,-0.2527,0.3890,-1.1349,7.0581,5.5330,0.1512,-0.2946,0.2609,point_left_1
-9.4164,5.2026,3.1460,0.0542,-0.4315,1.0223,-2.7940,7.3167,6.1483,0.4173,-0.5965,0.8791,point_left_1
-8.9807,5.0302,3.2202,-0.0436,-0.7537,1.4670,-2.6432,7.0294,6.5457,0.5247,-0.9342,1.4305,point_left_1
-8.7412,5.4875,2.6456,0.1663,-0.9002,1.9685,-1.9130,7.2185,5.9903,0.7979,-1.1556,1.6936,point_left_1
-6.9025,5.9089,1.7358,0.0336,-0.9246,2.1561,0.3017,7.0605,5.4516,1.0218,-1.2625,1.8969,point_left_1
-6.8953,6.1363,2.7749,-0.1832,-0.2200,2.4681,-0.5962,6.2489,5.1787,1.3903,-0.3122,2.3798,point_left_1
-7.1443,5.4324,3.7110,-0.2623,-0.3174,3.4038,-1.7406,4.1372,5.5809,1.7537,-0.5332,3.2860,point_left_1
-3.8618,4.3359,3.1915,0.1059,-0.7262,4.3122,1.3288,2.5618,1.7645,2.2579,-1.3530,4.3435,point_left_1
-2.0662,4.0438,1.5538,-0.8661,-0.8645,4.3656,1.4341,-0.2729,1.4246,2.2957,-0.7378,4.3656,point_left_1
1.7095,1.2570,1.8507,-1.8996,-1.0970,4.3656,7.3023,-2.0470,-2.3822,2.1666,-1.1835,4.3656,point_left_1
7.5058,2.5546,3.0095,-0.8388,-1.4673,3.6893,16.1680,-0.4405,-4.5921,1.0344,-1.4987,4.3656,point_left_1
9.0644,3.6320,2.2218,-1.1635,-0.9759,2.6164,14.5687,-0.8619,-3.3710,0.7654,-0.2694,2.9707,point_left_1
9.5265,4.7429,4.9536,-1.2020,0.0727,1.3775,14.7507,0.5890,-2.9113,0.1468,0.6229,1.6846,point_left_1
6.6463,5.6096,6.3015,-0.8588,-0.3865,0.6211,12.0261,0.8021,-0.5746,-0.3317,0.2778,1.0560,point_left_1
6.7780,5.9089,5.7413,-0.7240,-0.3218,0.2836,13.2902,1.4126,-0.6823,-0.5833,-0.0785,0.6101,point_left_1
5.1763,5.7988,7.1802,-0.6010,-0.1667,-0.0241,11.0660,0.8763,1.6113,-0.5544,0.4146,0.2852,point_left_1
5.4947,5.5785,6.3925,-0.1949,-0.2068,-0.0514,12.1793,0.6345,2.1332,-0.2124,-0.1700,-0.0068,point_left_1
5.2672,5.5929,5.9687,0.0053,0.2040,-0.1929,11.1115,1.3623,0.8164,-0.0807,0.2277,-0.2733,point_left_1
3.9696,6.0142,5.5234,0.0117,0.1544,-0.2541,9.4164,1.9082,0.7805,-0.0741,0.0477,-0.2930,point_left_1
3.8738,5.7269,6.3087,0.0273,0.0418,-0.0325,9.4332,1.5921,1.3384,0.0699,-0.0301,-0.0488,point_left_1
4.1946,5.5402,5.5282,0.1664,-0.1871,-0.0349,9.3230,1.1133,1.6041,-0.0157,-0.2418,-0.1507,point_left_1
4.6112,5.3630,5.1236,0.2498,-0.1095,-0.0573,9.8282,1.4126,0.4980,-0.0035,-0.2004,-0.2108,point_left_1
4.7573,5.3271,5.1404,0.1131,-0.0125,-0.2185,9.7683,1.4533,0.2346,-0.1043,-0.0626,-0.2438,point_left_1
4.6017,5.4229,5.3415,0.1324,-0.1167,-0.2924,10.0676,1.4269,0.7254,-0.1615,-0.1583,-0.3567,point_left_1
4.7429,5.4875,6.0669,0.2490,0.0041,-0.3728,10.7452,1.6496,0.4549,-0.0492,-0.1324,-0.4798,point_left_1
6.5960,5.2241,4.8794,0.3316,-0.4253,-0.7510,12.7156,1.6281,-0.9290,-0.3824,-0.5930,-1.0295,point_left_1
5.6455,5.1116,5.3774,0.1502,-0.0334,-1.1517,11.7244,1.0678,-0.9433,-0.5037,0.0861,-1.5127,point_left_1
6.4907,4.8076,5.2601,0.5295,-0.7105,-2.1901,13.1753,1.3862,-1.8004,-1.1858,-0.9759,-2.6923,point_left_1
4.8147,5.2648,4.2856,0.6472,-0.0923,-3.0866,10.3382,1.8531,-1.3695,-1.4815,-0.1387,-2.8794,point_left_1
